Extension,Kind of document,MIME Type
.aac,AACaudiofile,audio/aac
.abw,AbiWorddocument,application/x-abiword
.arc,Archivedocument(multiplefilesembedded),application/octet-stream
.avi,AVI:AudioVideoInterleave,video/x-msvideo
.azw,AmazonKindleeBookformat,application/vnd.amazon.ebook
.bin,Anykindofbinarydata,application/octet-stream
.bz,BZiparchive,application/x-bzip
.bz2,BZip2archive,application/x-bzip2
.csh,C-Shellscript,application/x-csh
.css,CascadingStyleSheets(CSS),text/css
.csv,Comma-separatedvalues(CSV),text/csv
.doc,MicrosoftWord,application/msword
.epub,Electronicpublication(EPUB),application/epub+zip
.gif,GraphicsInterchangeFormat(GIF),image/gif
".htm,.html",HyperTextMarkupLanguage(HTML),text/html
.ico,Iconformat,image/x-icon
.ics,iCalendarformat,text/calendar
.jar,JavaArchive(JAR),application/java-archive
".jpeg,.jpg",JPEGimages,image/jpeg
.js,JavaScript(ECMAScript),application/javascript
.json,JSONformat,application/json
".mid,.midi",MusicalInstrumentDigitalInterface(MIDI),audio/midi
.mpeg,MPEGVideo,video/mpeg
.mpkg,AppleInstallerPackage,application/vnd.apple.installer+xml
.odp,OpenDocuemntpresentationdocument,application/vnd.oasis.opendocument.presentation
.ods,OpenDocuemntspreadsheetdocument,application/vnd.oasis.opendocument.spreadsheet
.odt,OpenDocumenttextdocument,application/vnd.oasis.opendocument.text
.oga,OGGaudio,audio/ogg
.ogv,OGGvideo,video/ogg
.ogx,OGG,application/ogg
.png,PortableNetworkGraphics,image/png
.pdf,AdobePortableDocumentFormat(PDF),application/pdf
.ppt,MicrosoftPowerPoint,application/vnd.ms-powerpoint
.rar,RARarchive,application/x-rar-compressed
.rtf,RichTextFormat(RTF),application/rtf
.sh,Bourneshellscript,application/x-sh
.svg,ScalableVectorGraphics(SVG),image/svg+xml
.swf,Smallwebformat(SWF)orAdobeFlashdocument,application/x-shockwave-flash
.tar,TapeArchive(TAR),application/x-tar
".tif,.tiff",TaggedImageFileFormat(TIFF),image/tiff
.ttf,TrueTypeFont,font/ttf
.vsd,MicrosoftVisio,application/vnd.visio
.wav,WaveformAudioFormat,audio/x-wav
.weba,WEBMaudio,audio/webm
.webm,WEBMvideo,video/webm
.webp,WEBPimage,image/webp
.woff,WebOpenFontFormat(WOFF),font/woff
.woff2,WebOpenFontFormat(WOFF),font/woff2
.xhtml,XHTML,application/xhtml+xml
.xls,MicrosoftExcel,application/vnd.ms-excel
.xml,XML,application/xml
.xul,XUL,application/vnd.mozilla.xul+xml
.zip,ZIParchive,application/zip
.3gp,3GPPaudio/videocontainer,"video/3gpp,audio/3gppifitdoesn'tcontainvideo"
.3g2,3GPP2audio/videocontainer,"video/3gpp2,audio/3gpp2ifitdoesn'tcontainvideo"
.7z,7-ziparchive,application/x-7z-compressed
